topic,coherence_score
0,0.1907926647996019
1,0.20209660723044182
2,0.1797609858729969
3,0.24908861657325024
4,0.38951774215018886
5,0.17307175199235375
6,0.21791858998790387
7,0.2303680938057148
8,0.13154151623107013
9,0.2246314177728886
10,0.28041280159893484
11,0.23591438924953462
12,0.2697362511519972
13,0.17308044610544426
14,0.1509046181713145
15,0.30981113555482387
16,0.24097472476485965
17,0.24315662876469782
18,0.12952975682416268
19,0.2375121072690704
20,0.39175111252587363
21,0.28118605935729685
22,0.20266827403746793
23,0.3142730823287596
24,0.3473049802588098
25,0.17158630204963043
26,0.15676835019549415
27,0.17101709897622847
28,0.2149705683535647
29,0.44664776728098293
