topic,top_terms
0,"unser, haus, weg, nehmen, antwort, erwarten, kollegin, beratung, rede, hoch, entsprechend, herr kollege, wirtschaft, stelle, deutsch"
1,"thema, letzter, unterschiedlich, ergebnis, punkt, abgeordneter, halten, herr, kollege, insbesondere, lösung, angesichts, herr präsident, problem, präsident"
2,"zukunft, aufgabe, eigentlich, politisch, entsprechend, kollege, herr bundeskanzler, mensch, bundeskanzler, sehen, geben, wissen, weg, falsch, grund"
3,"deutsch, deutschland, geben, dm, haus, dr, stellen, klar, herr, arbeiten, wichtig, sagen, frage, fraktion, land"
4,"insbesondere, gebiet, richtig, lassen, erreichen, auffassung, interesse, bitte, bereich, hoch, seite, gehören, unterschiedlich, bestehen, nämlich"
5,"stehen, zeigen, verfügung, sinn, haus, ziel, rede, bund, richtig, stark, mensch, zukunft, problem, wichtig, million"
6,"glauben, tun, ding, million, fallen, punkt, anderer, sache, unseren, entscheiden, stelle, international, ausschuß, gemeinsam, dr"
7,"mensch, können, notwendig, sinn, land, grund, handeln, art, frage, entscheidend, deutsch, kommen, spd, entscheiden, ding"
8,"deutsch, fall, einheit, kommen, nehmen, unseren, dm, mensch, verfügung, gut, antrag, ergebnis, stellen, fraktion, bundestag"
9,"genau, antrag, frau, kollegin, kollege, spd, schaffen, glauben, einheit, geben, land, wissen, wichtig, politik, falsch"
10,"herr, notwendig, bundeskanzler, art, herr bundeskanzler, glauben, handeln, sagen, satz, falsch, zusammenhang, rahmen, feststellen, bitte, liegen"
11,"frage, herr, staatssekretär, abgeordneter, kollege, dr, bundesregierung, herr kollege, antwort, übrig, halten, handeln, rahmen, unseren, präsident"
12,"gesellschaft, sagen, kollege, gemeinsam, zukunft, wissen, land, herr, problem, herr kollege, sprechen, wirtschaft, genau, zeigen, welt"
13,"bund, brauchen, antrag, fraktion, letzter, satz, bundesrepublik, dm, spd, ausschuß, geben, punkt, unseren, eintreten, einheit"
14,"weg, bringen, punkt, entscheidend, arbeiten, hoch, problem, deutschland, zeigen, frau, prozent, stellen, bericht, fraktion, kollege"
15,"deutsche, bundestag, deutsche bundestag, sprechen, regierung, entscheidend, ding, unser, müssen, rede, fraktion, grund, verfügung, herr, ausschuß"
16,"mensch, europa, darstellen, führen, politisch, antwort, bundesregierung, leben, deutsche, punkt, prozent, verfügung, wichtig, gemeinsam, sprechen"
17,"frage, deutschland, antwort, sagen, abgeordneter, führen, herr, kollege, hoch, tun, beratung, lage, herr kollege, weg, zukunft"
18,"arbeit, spd, genau, präsident, frau, bitte, unterschiedlich, sehen, deutschland, gut, sache, unseren, punkt, unser land, treffen"
19,"deutlich, liegen, kind, stelle, ziel, sagen, bundestag, notwendig, geben, feststellen, erkennen, sinn, finden, entscheidend, lage"
20,"frau, ausschuß, fraktion, beratung, abgeordneter, dr, antrag, gesetz, bericht, bundesregierung, bundesrepublik, deutschland, bitte, art, arbeit"
21,"herr, liegen, minister, grund, präsident, erwarten, herr präsident, ergebnis, lage, unterschiedlich, sinn, eigentlich, frage, führen, bitte"
22,"wort, kollege, fraktion, erreichen, unser, deutsche bundestag, zeigen, ding, leben, wichtig, gesellschaft, fall, arbeit, unser land, gebiet"
23,"land, bundesregierung, regelung, gesetz, unser, regierung, bedeuten, unser land, unseren, ziel, führen, aufgabe, kommen, herr, abgeordneter"
24,"frau, darstellen, dr, ausschuß, fraktion, abgeordneter, beratung, herr, mensch, arbeit, antrag, eintreten, bundesrepublik, spd, leben"
25,"million, kommen, brauchen, entscheiden, deutsche, dm, stellen, verfügung, deutsche bundestag, wort, kollege, stelle, anderer, öffentlichkeit, erkennen"
26,"kind, brauchen, frage, antwort, partei, aufgabe, situation, unseren, gehören, stellen, entsprechend, finden, bereich, satz, welt"
27,"deutsche bundestag, situation, spd, verfügung, bedeuten, seite, erkennen, nehmen, übrig, unterschiedlich, gesellschaft, geben, entsprechend, bund, bleiben"
28,"beratung, verfügung, sagen, liegen, präsident, bundesrepublik, bereich, falsch, unser, erreichen, sprechen, arbeit, nehmen, führen, dame"
29,"herr, dame herr, dame, politisch, sagen, sehen, kollege, bundesregierung, präsident, frage, rede, herr präsident, wichtig, partei, stelle"
